Tab,Address,Comment,RegisterFormat
Robot,514,ControlButton 点动方向4/2 步进确定1 外部键触发【上位机:写】,UINT
Robot,523,ResetFunction 功能轴选择【规范定义，上位机未接入】,UINT
Robot,524,RunMaxPosition 一键运行到最远位置【规范定义，上位机未接入】,UINT
Robot,525,CantileverControlMode 悬臂控制1坐标2关节【上位机:写/读126】,UINT
Robot,526,坐标点动 JogX/Y/Z/Rz 正负方向编码±1~±4【上位机:写】,BOOL
Robot,527,0起吊控制 1起吊上升 2起吊下降 3起吊完成 4重量去皮；bit5主副轴同步启动【上位机:读改写bit5】,BOOL
Robot,528,LiftingControlVelocity 起吊速度【规范定义，上位机未接入】,LREAL
Robot,600,PlatformControlMode 六自由度模式1点动2步进【上位机:读/写】,UINT
Robot,601,PlatformSetPosition 六自由度步进位置【上位机:写601~602 float CDAB】,INT
Robot,602,PlatformSetPosition_HiWord 六自由度步进位置高字【上位机:写601~602配对】,INT
Robot,613,PlatformJog 六轴点动命令±1~±6【上位机:写】,INT
Robot,614,PlatformMove 六轴步进选轴1~6【上位机:写】,INT
Robot,615,0 SteppingConfirm 步进确定/六轴复位bit1【上位机:写读改写】,BOOL
Robot,0,BottomRotatingAxisPosition J1底部旋转轴位置【上位机:轮询读0~3 LREAL】,LREAL
Robot,4,MainLiftingAxisPosition J2主升降轴位置【上位机:轮询读4~7 LREAL】,LREAL
Robot,8,AuxiliaryAxisPosition 辅助平衡轴位置【规范定义，上位机未读】,LREAL
Robot,12,ExtensionAxis_1Position J3一级伸缩臂位置【上位机:轮询读12~15 +16~19求和】,LREAL
Robot,16,ExtensionAxis_2Position J3二级伸缩臂位置【上位机:轮询读16~19】,LREAL
Robot,20,EndRotatingAxisPosition J4末端旋转轴位置【上位机:轮询读20~23 LREAL】,LREAL
Robot,24,LiftingAxis_1Position 起吊电机1位置【规范定义，上位机未读】,LREAL
Robot,28,LiftingAxis_2Position 起吊电机2位置【规范定义，上位机未读】,LREAL
Robot,32,LiftingAxis_3Position 起吊电机3位置【规范定义，上位机未读】,LREAL
Robot,36,BottomRotatingAxisVelocity J1速度反馈【上位机:轮询读36~39 LREAL】,LREAL
Robot,40,MainLiftingAxisVelocity J2速度反馈【上位机:轮询读40~43 LREAL】,LREAL
Robot,44,AuxiliaryAxisVelocity 辅助平衡轴速度【规范定义，上位机未读】,LREAL
Robot,48,ExtensionAxis_1Velocity J3速度段1【上位机:轮询读48~51 LREAL】,LREAL
Robot,52,ExtensionAxis_2Velocity J3速度段2【上位机:轮询读52~55 LREAL】,LREAL
Robot,56,EndRotatingAxisVelocity J4速度反馈【上位机:轮询读56~59 LREAL】,LREAL
Robot,60,LiftingAxis_1Velocity 起吊电机1速度【规范定义，上位机未读】,LREAL
Robot,64,LiftingAxis_2Velocity 起吊电机2速度【规范定义，上位机未读】,LREAL
Robot,68,LiftingAxis_3Velocity 起吊电机3速度【规范定义，上位机未读】,LREAL
Robot,72,CurrentPlatformControlMode 六自由度当前模式【规范定义，上位机未读；用600/125替代】,UINT
Robot,73,CurrentPlatformSetPosition 六自由度当前位置 RX~Z ARRAY[1..6] REAL【上位机:轮询读73~84】,ARRAY [1..6] OF REAL
Robot,85,CurrentPlatformStates 六自由度状态【规范定义，上位机未读】,UINT
Robot,102,0正限位警告1负限位警告2正限位到达3负限位到达4超范围5回零完成6最远位完成等【上位机:轮询读bit2/3限位】,BOOL
Robot,103,X坐标【上位机:轮询读103~106 LREAL】,LREAL
Robot,107,Y坐标【上位机:轮询读107~110 LREAL】,LREAL
Robot,111,Z坐标【上位机:轮询读111~114 LREAL】,LREAL
Robot,115,aR姿态角【上位机:轮询读115~118 LREAL】,LREAL
Robot,119,GL20Status 分布式IO状态【规范定义；使能按钮写19/119已注释禁用】,UINT
Robot,120,GL20ErrorCode 分布式故障【规范定义，上位机未读】,UINT
Robot,121,AGVPLCStatus AGV PLC状态【规范定义，上位机未读】,UINT
Robot,122,MultiAxisPlatformStatus 六自由度平台状态【规范定义，上位机未读】,UINT
Robot,123,Weight 末端起吊重量【规范定义，上位机未读】,UINT
Robot,124,CurrentChoiceAxis 当前选择轴/外部矩阵键写入【上位机:写】,UINT
Robot,125,CurrentAxisControlMode 当前模式1点动2步进【上位机:轮询读】,UINT
Robot,126,CurrentCantileverControlMode 当前坐标系1坐标2关节【上位机:轮询读/写525】,UINT
Robot,127,Total_Weight_Raw 总原始重量【上位机:轮询读125~130块】,UINT
Robot,128,Total_Weight_Final 去皮后重量【上位机:轮询读125~130块】,UINT
Robot,129,CurrentAxisSetVelocity 当前轴设定速度【上位机:轮询读125~130块】,UINT
Robot,130,CurrentAxisJOGSetVelocity 当前点动速度【上位机:轮询读/UI同步】,UINT
Robot,131,CurrentSystemAutoAccelerationAndDeceleration【上位机:轮询读125~130块】,UINT
Robot,132,CurrentSystemJOGAccelerationAndDeceleration【上位机:轮询读125~130块】,UINT
Robot,133,Tension 末端拉力【规范定义，上位机未读】,UINT
